ligue,journee,date,heure,equipe1,equipe2,score_equipe1_final,score_equipe2_final
fr.1,Matchday 31,2025-04-27,15:00,Angers SCO,Lille OSC,0,2
fr.1,Matchday 31,2025-04-27,17:15,FC Nantes,Toulouse FC,0,0
fr.1,Matchday 31,2025-04-27,17:15,Montpellier HSC,Stade de Reims,0,0
fr.1,Matchday 31,2025-04-27,17:15,Racing Club de Lens,AJ Auxerre,0,4
fr.1,Matchday 31,2025-04-27,20:45,Olympique de Marseille,Stade Brestois 29,4,1
fr.1,Matchday 32,2025-05-02,20:45,OGC Nice,Stade de Reims,1,0
fr.1,Matchday 32,2025-05-03,17:00,RC Strasbourg Alsace,Paris Saint-Germain FC,2,1
fr.1,Matchday 32,2025-05-03,19:00,Toulouse FC,Stade Rennais FC 1901,2,1
fr.1,Matchday 32,2025-05-03,21:05,AS Saint-Étienne,AS Monaco FC,1,3
fr.1,Matchday 32,2025-05-04,15:00,FC Nantes,Angers SCO,0,1
fr.1,Matchday 32,2025-05-04,17:15,Olympique Lyonnais,Racing Club de Lens,1,2
fr.1,Matchday 32,2025-05-04,17:15,Stade Brestois 29,Montpellier HSC,1,0
fr.1,Matchday 32,2025-05-04,17:15,AJ Auxerre,Le Havre AC,1,2
fr.1,Matchday 32,2025-05-04,20:45,Lille OSC,Olympique de Marseille,1,1
fr.1,Matchday 33,2025-05-10,21:00,Stade de Reims,AS Saint-Étienne,0,2
fr.1,Matchday 33,2025-05-10,21:00,AJ Auxerre,FC Nantes,1,1
fr.1,Matchday 33,2025-05-10,21:00,Angers SCO,RC Strasbourg Alsace,2,1
fr.1,Matchday 33,2025-05-10,21:00,Le Havre AC,Olympique de Marseille,1,3
fr.1,Matchday 33,2025-05-10,21:00,Stade Rennais FC 1901,OGC Nice,2,0
fr.1,Matchday 33,2025-05-10,21:00,Montpellier HSC,Paris Saint-Germain FC,1,4
fr.1,Matchday 33,2025-05-10,21:00,Toulouse FC,Racing Club de Lens,1,1
fr.1,Matchday 33,2025-05-10,21:00,Stade Brestois 29,Lille OSC,2,0
fr.1,Matchday 33,2025-05-10,21:00,AS Monaco FC,Olympique Lyonnais,2,0
fr.1,Matchday 34,2025-05-17,21:00,Olympique de Marseille,Stade Rennais FC 1901,4,2
fr.1,Matchday 34,2025-05-17,21:00,Olympique Lyonnais,Angers SCO,2,0
fr.1,Matchday 34,2025-05-17,21:00,OGC Nice,Stade Brestois 29,6,0
